gene,signature,cluster
PMS2CL,Primary,G3
POLR3F,Primary,G3
PRKAR1B,Primary,G3
PRND,Primary,G3
PRNP,Primary,G3
PRPS1L1,Primary,G3
PRR15,Primary,G3
PSMF1,Primary,G3
PSMG3,Primary,G3
PTPRA,Primary,G3
PYGB,Primary,G3
RAC1,Primary,G3
RAD21L1,Primary,G3
RADIL,Primary,G3
RALGAPA2,Primary,G3
RAPGEF5,Primary,G3
RASSF2,Primary,G3
RBAK,Primary,G3
RBBP9,Primary,G3
RBCK1,Primary,G3
RIN2,Primary,G3
RNF216,Primary,G3
RNF216P1,Primary,G3
RNF24,Primary,G3
RP9,Primary,G3
RP9P,Primary,G3
RPA3,Primary,G3
RRBP1,Primary,G3
RSPO4,Primary,G3
SCIN,Primary,G3
SCRN1,Primary,G3
SDCBP2,Primary,G3
SDK1,Primary,G3
SEC23B,Primary,G3
SIGLEC1,Primary,G3
SIRPA,Primary,G3
SIRPB1,Primary,G3
SIRPB2,Primary,G3
SKAP2,Primary,G3
SLC23A2,Primary,G3
SLC24A3,Primary,G3
SLC29A4,Primary,G3
SLC4A11,Primary,G3
SLC52A3,Primary,G3
SLX4IP,Primary,G3
SMOX,Primary,G3
SNAP25,Primary,G3
SNORD17,Primary,G3
SNRPB,Primary,G3
SNRPB2,Primary,G3
SNX10,Primary,G3
SNX13,Primary,G3
SNX5,Primary,G3
SNX8,Primary,G3
SOSTDC1,Primary,G3
SOX12,Primary,G3
SP4,Primary,G3
SP8,Primary,G3
SPEF1,Primary,G3
SPTLC3,Primary,G3
SRXN1,Primary,G3
SSTR4,Primary,G3
STEAP1B,Primary,G3
STK31,Primary,G3
STK35,Primary,G3
SUN1,Primary,G3
SYNDIG1,Primary,G3
TASP1,Primary,G3
TAX1BP1,Primary,G3
TBC1D20,Primary,G3
TCF15,Primary,G3
TGM3,Primary,G3
THSD7A,Primary,G3
TMC2,Primary,G3
TMEM106B,Primary,G3
TMEM184A,Primary,G3
TMEM196,Primary,G3
TMEM230,Primary,G3
TMEM74B,Primary,G3
TMX4,Primary,G3
TNRC18,Primary,G3
TOMM7,Primary,G3
TRA2A,Primary,G3
TRIB3,Primary,G3
TRMT6,Primary,G3
TTYH3,Primary,G3
TWIST1,Primary,G3
TWISTNB,Primary,G3
UBOX5,Primary,G3
USP42,Primary,G3
VPS16,Primary,G3
VSX1,Primary,G3
VWDE,Primary,G3
WIPI2,Primary,G3
XRN2,Primary,G3
YAE1D1,Primary,G3
ZCCHC3,Primary,G3
ZDHHC4,Primary,G3
ZNF12,Primary,G3
ZNF133,Primary,G3
ZNF337,Primary,G3
ZNF343,Primary,G3
ZNF815P,Primary,G3
ZNF853,Primary,G3
ZNRF2,Primary,G3
ABCC4,Primary,G4
ABHD13,Primary,G4
ADPRHL1,Primary,G4
AKAP11,Primary,G4
ALG11,Primary,G4
ALG5,Primary,G4
AMER2,Primary,G4
ANKRD10,Primary,G4
ARGLU1,Primary,G4
ARHGEF7,Primary,G4
ARL11,Primary,G4
ATP11A,Primary,G4
ATP12A,Primary,G4
ATP4B,Primary,G4
ATP7B,Primary,G4
ATP8A2,Primary,G4
BIVM,Primary,G4
BORA,Primary,G4
BRCA2,Primary,G4
C1QTNF9,Primary,G4
C1QTNF9B,Primary,G4
CAB39L,Primary,G4
CARS2,Primary,G4
CCDC122,Primary,G4
CCDC168,Primary,G4
CCDC169,Primary,G4
CCDC70,Primary,G4
CCNA1,Primary,G4
CDADC1,Primary,G4
CDC16,Primary,G4
CDK8,Primary,G4
CDX2,Primary,G4
CENPJ,Primary,G4
CHAMP1,Primary,G4
CKAP2,Primary,G4
CLDN10,Primary,G4
CLN5,Primary,G4
CLYBL,Primary,G4
COG3,Primary,G4
COG6,Primary,G4
COL4A2,Primary,G4
COMMD6,Primary,G4
CPB2,Primary,G4
CRYL1,Primary,G4
CSNK1A1L,Primary,G4
CUL4A,Primary,G4
DACH1,Primary,G4
DCLK1,Primary,G4
DCT,Primary,G4
DCUN1D2,Primary,G4
DGKH,Primary,G4
DHRS12,Primary,G4
DIAPH3,Primary,G4
DIS3,Primary,G4
DLEU1,Primary,G4
DLEU2,Primary,G4
DLEU7,Primary,G4
DNAJC15,Primary,G4
DNAJC3,Primary,G4
DOCK9,Primary,G4
EBPL,Primary,G4
EDNRB,Primary,G4
EEF1DP3,Primary,G4
EFNB2,Primary,G4
ELF1,Primary,G4
ENOX1,Primary,G4
EPSTI1,Primary,G4
ERCC5,Primary,G4
ESD,Primary,G4
EXOSC8,Primary,G4
F10,Primary,G4
F7,Primary,G4
FAM124A,Primary,G4
FAM155A,Primary,G4
FAM216B,Primary,G4
FARP1,Primary,G4
FBXL3,Primary,G4
FGF14,Primary,G4
FGF9,Primary,G4
FLT3,Primary,G4
