gene,signature,cluster
DEFA4,Metastatic,G3
DEFB1,Metastatic,G3
DLGAP2,Metastatic,G3
DTD1,Metastatic,G3
DUSP4,Metastatic,G3
EBF2,Metastatic,G3
ERICH1,Metastatic,G3
FBXO16,Metastatic,G3
FBXO25,Metastatic,G3
FGF17,Metastatic,G3
GATA4,Metastatic,G3
GINS1,Metastatic,G3
GTF2E2,Metastatic,G3
KIF16B,Metastatic,G3
LGI3,Metastatic,G3
LOXL2,Metastatic,G3
LPL,Metastatic,G3
MACROD2,Metastatic,G3
MCPH1,Metastatic,G3
MSR1,Metastatic,G3
MSRA,Metastatic,G3
MTUS1,Metastatic,G3
MYOM2,Metastatic,G3
NEFL,Metastatic,G3
NKX2-2,Metastatic,G3
NRG1,Metastatic,G3
OVOL2,Metastatic,G3
PAK7,Metastatic,G3
PAX1,Metastatic,G3
PCM1,Metastatic,G3
PCSK2,Metastatic,G3
PDGFRL,Metastatic,G3
PEBP4,Metastatic,G3
PIWIL2,Metastatic,G3
PLCB1,Metastatic,G3
PSD3,Metastatic,G3
RBPMS,Metastatic,G3
SCARA5,Metastatic,G3
SGCZ,Metastatic,G3
SH2D4A,Metastatic,G3
SLC24A3,Metastatic,G3
SNAP25,Metastatic,G3
TNFRSF10C,Metastatic,G3
TNKS,Metastatic,G3
TUSC3,Metastatic,G3
VPS37A,Metastatic,G3
WRN,Metastatic,G3
XKR6,Metastatic,G3
XRN2,Metastatic,G3
